Local time,Open,High,Low,Close,Volume
03.09.2018 01:19:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:20:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:21:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:22:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:23:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:24:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:25:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:26:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:27:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:28:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:29:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:30:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:31:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:32:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:33:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:34:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:35:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:36:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:37:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:38:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:39:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:40:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:41:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:42:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:43:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:44:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:45:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:46:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:47:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:48:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:49:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:50:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:51:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:52:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:53:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:54:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:55:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:56:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:57:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 01:58:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
